ahkr201,Praksis i arbeidslivet
art250,Kunstpraksis 6 - Bachelorprosjekt
art300,Kunstpraksis 1
art320,Kunstpraksis 2
art331,Kunstpraksis 3
art350,Kunstpraksis 4 - Masterprosjekt
bceps300,Grunnkurs i helseprioriteringar
bceps900,Grunnkurs i helseprioriteringar
bif100,Innføring i fiskehelse og havbruk
bif101,Organismebiologi for fiskehelse og havbruk
bif200,Havbruksteknologi
bif210,Molekylærbiologisk diagnostikk av fiskesjukkdomar
bif301,Praksis i havbruk
bif310,Profesjonsutøving og praksis i fiskehelse
binf100,Grunnleggjande bioinformatikk
binf200,Analyse av biologiske sekvensar og strukturar
binf201,Innføring i omics
binf301,Genom-skala algoritmar
binf305,Systembiologi
binf389,Utvalde emne i bioinformatikk
binfphd901,Genom-skala algoritmar
binfphd905,Systembiologi
bio100,Innføring i evolusjon og økologi
bio101,Organismebiologi 1
bio102,Organismebiologi 2
bio103,Cellebiologi og genetikk
bio104,Komparativ fysiologi
bio201,Økologi
bio203,Innføring i havbruk
bio205,"Praksisperiode, lovverk og forvaltning i akvakultur"
bio205a,Lovverk og forvaltning i fiskehelse og havbruk
bio206,Ernæring hos fisk
bio207,Næringsmiddelmikrobiologi med spesiell relevans til sjømat
bio208,Miljøpåverknad av oppdrett
bio210,Evolusjonsbiologi
bio212,Marin samfunnsøkologi - Organismar og habitat
bio213,"Marin økologi, miljø og ressursar"
bio214,Generell mikrobiologi
bio216,Toksikologi
bio217,Mikrobiell økologi
bio219,Molekylær mikrobiologi
bio225,Marin bentisk fauna
bio226,Marin bentisk fauna
bio230,"Botanisk systematikk, morfologi og evolusjon"
bio250,Palaeoøkologi
bio270,Fiskesjukdommar - Parasittar
bio271,Fiskesjukdommar - Virologi
bio272,"Fiskesjukdommar - Bakteriar, sopp og ikkje-infeksiøse sjukdommar"
bio273,Fiskesjukdommar - fiskeimmunologi
bio274,Fiskesjukdommar - Farmakologi
bio275,Fiskehistopatologi
bio280,Fiskebiologi I - Systematikk og anatomi
bio291,Fiskebiologi II - Fysiologi
bio297,Feltkursundervisning
bio298,Yrkespraksis i biologi
bio299,Forskingspraksis i biologi
bio300a,Akademisk skriving
bio300b,Biostatistikk
bio301,"Aktuelle tema i biodiversitet, evolusjon og økologi"
bio302,Metodar for reproduserbar og open vitskap
bio303,Ordinasjon og gradientanalyse
bio315,Utvalde mikrobiologiske emne
bio316,Utvalde emne i miljøtoksikologi
bio318,Aktuelle geobiologiske tema
bio324,Fiskeåtferd
bio325,Havforsking
bio332,Fylogenetiske metodar
bio335,Populasjongenetiske metodar
bio340,Utvalde emne i fiskeri- og marinbiologi
bio349,Teori og praksis for berekraftig forvaltning av levande marine ressursar
bio356,Bestandsovervaking og ansvarleg hausting
bio364,Plantar sine funksjonelle trekk- feltkurs
bio370,Celle- og utviklingsbiologi
bio382,Akvatisk matproduksjon
bio399,Masteroppgåve i biologi
bio399k,Masteroppgåve i biologi
biodi300,Biologididaktikk
biodid220,Innføring i biologididaktikk
biodid220-p,Innføring i biologididaktikk
biophd900b,Biostatistikk
biophd932,Fylogenetiske metodar
bmed201,Menneskets anatomi 
bmed320,Metoder i biomedisinsk forskning
bmed322,Metoder i biomedisinsk forskning
bmed325,Cellulær biokjemi og nanobiokjemi
bmed326,"Proteinstrukturbestemming, validering og analyse"
bmed330,Cellekommunikasjon og intracellulær signalering
bmed331,Tumorbiologi
bmed340,Cellulær og molekylær nevrovitskap
bmed365,"Berekningsorientert avbilding, modellering og KI i biomedisin"
bmed370,Berekningsmetodar for legemiddeldesign
bmed380,Seminarserie
bmed382,Seminarserie
bmed395,Masteroppgåve i biomedisin
bmed904,Biomedisinsk forskarkurs: Matrix biologi
bmed908,Early Stage Researcher seminar i biomedisin
bmedfys,Menneskets fysiologi
bmedkro,Generell anatomi og fysiologi inkludert ernæring 
carein,"Kurs i forsøksdyrlære, laboratoriedyr, teori, funksjon A, B og D"
carein601,"Kurs i forsøksdyrlære, laboratoriedyr, teori, funksjon A, B og D"
carein901,"Kurs i forsøksdyrlære, laboratoriedyr, teori, funksjon A, B og D"
ccbio901,CCBIO symposium for yngre forskarar 
ccbio902,CCBIO seminar og symposium 
ccbio903,"Kreftforsking: etiske, økonomiske og samfunnsmessige aspekt."
ccbio904,Biomarkører og tumorbiologi i klinisk praksis
ccbio905,Metoder for studier av biomarkørar ved kreft
ccbio906,Cancer Genomics
ccbio907,Cancer-related vascular biology
ccbio908,Vitenskapelig skriving og kommunikasjon
ccbioneur910,Brukermedvirkning i medisinsk og helsefaglig forskning
ccbioneur911,Kliniske studier
ccbioneur912,Helseinnovasjon
cdp911,The Psychology of Loss and Trauma 
cdp916a,Kvalitativ dataanalyse - fenomenologi og refleksivitet i tematiske analyser
cdp916b,Kvalitativ dataanalyse - fenomenologi og refleksivitet i tematiske analyser
cdp919,Causal modeling: Statistical analysis of mediation and moderation
cdp921,Forskningsforum
cdp922,Vitskaplege metodar: Meta-Analyse
cdp924,Vitskaplege metodar: Meta-Analyse
cdp925a,"Kvalitativ forsking A - teori, presentasjon og refleksjon"
cdp925b,"Kvalitativ forsking B - teori, presentasjon og refleksjon"
cdp930,Metasyntese av kvalitativ forskning
cdp991,Linear mixed modeling of treatment/intervention studies
cdp993,Vitenskapelige metoder: Analyse av kvalitative data ved hjelp av Systematisk Tekst Kondensering (STK)
cismac900-5,Intervention science in maternal and child health
cismac900a-4,Intervention science in maternal and child health
cismac900a-5,Intervention science in maternal and child health
data110,Innføring i programmering
data120,Databasar
data150,Datasett
data160,Datahenting
des101,Introduksjon til skapande prosessar
des110,Designhistorie i førindustriell tid
des120,Framveksten av design
des200,Design i samanheng
des225,Fordjuping innan fagområdet
des230,Designarens rolle
des234,Diskursiv design
des235,Profesjonsrelatert praksis
des236,Sosial design
des237,Teknologi og materialitet
des242,Design og samfunn
des310,Designpraksis 1 - Avdekking
des311,Design som forsking
des312,Designmetodikk
des320,Designpraksis 2 - Ideutvikling og eksperimentering
des321,Fellesprosjekt
des322,Kunstnarleg utviklingsarbeid 1
des324,Stedsutforsking
des330,Designpraksis 3 - Utprøving og bearbeiding
des331,Kunstnarleg utviklingsarbeid 2 
des332,Nye nettverk
des334,Programmering for design
des335,Byggteknikk
des350,Designpraksis 4 - Sammenstilling og formidling
deth660,"The ""Design"" in Design Thinking"
didaeng1,Engelskdidaktikk 1
didaeng2,Engelskdidaktikk 2
didafil1,Filosofididaktikk 1
didafil2,Filosofididaktikk 2
didafran1,Franskdidaktikk 1
didafran2,Fransk didaktikk 2
didahis1,Historiedidaktikk 1
didahis2,Historiedidaktikk 2
didahum1,Fagtekst og skriverettleiing 
didahum2,Fagsamtale og munnleg formidling
didanor1,Nordisk fagdidaktikk for PPU 1
didanor2,Nordisk fagdidaktikk for PPU 2
didanoran1,Fagdidaktikk i norsk som andrespråk for PPU 1
didanoran2,Fagdidaktikk i norsk som andrespråk for PPU 2
didapsyk1,Fagdidaktikk i psykologi - første semester 
didapsyk1b,"Fagdidaktikk i psykologi, fordjupningsemne - første semester"
didapsyk2,Fagdidaktikk i psykologi - andre semester
didapsyk2b,"Fagdidaktikk i psykologi, fordjupningsemne - andre semester"
didarel1,Fagdidaktikk i religionsvitskap 1 (for vidaregåande skule)
didarel2,Fagdidaktikk i religionsvitskap 2 (for ungdomstrinnet)
didasak1,Samfunnskunnskapsdidaktikk 1
didasak2,Samfunnskunnskapsdidaktikk 2
didasak3,Samfunnskunnskapsdidaktikk 3
didasak4,Samfunnskunnskapsdidaktikk 4
didaspa1,Spanskdidaktikk 1
didaspa2,Spanskdidaktikk 2
didatys1,Tyskdidaktikk 1
didatys2,Tyskdidaktikk 2
dighel630,"Digitalisering i helse: Individ, organisasjon og samfunn"
dighel631,Digitalisering i Helse: Digitale helsetenester
dighel632,Digitalisering i Helse: Leiing
dighel633,Digitalisering i Helse: Digitaliseringsprosjekt og implementering
digi100,Digital student - Nettkurs i digitale arbeidsmetodar og teknologi for læring
digi101,Digital kjeldekritikk 
digi110,Fantastiske Data
digi111,Algoritmar og programmering
digi112,IKT-sikkerheit
digi113,GDPR og personvern
digi114,Grunnkunnskap om Kunstig Intelligens
digi115,Data og demokrati
digi116,Medical Data Science
digi117,Språkteknologi
digi118,Introduksjon til datavisualisering
digi150,Fantastiske Data - Internasjonal
digi610,Fantastiske Data
digi610b,Fantastiske Data for sjømatnæringa
digi610c,Fantastiske Data for lærarar
digi611,Algoritmar og programmering
digi612,IKT-sikkerheit
digi613,GDPR og personvern
digi614,Grunnkunnskap om Kunstig Intelligens
digi615,Data og demokrati
digi616,Introduksjon til digital medisin
digi617,Språkteknologi
dikult103,"Digitale sjangrar: digital kunst, elektronisk litteratur og dataspill"
dikult104,"Datateknologi: Historie, teori og praksis"
dikult105,Webdesign I
dikult106,Kritiske perspektiv på teknologi og samfunn
dikult203,Elektronisk litteratur
dikult205,Webdesign II
dikult207,Praktisk forskingstrening i digital humaniora
dikult208,Kollaborativ kreativitet i nye medium
dikult210,Prakis på Senter for digitale forteljingar
dikult250,Praksisbasert bacheloroppgåve i digital kultur
dikult251,Kritiske innfallsvinklar til teknologi og samfunn med bacheloroppgåve
dikult301,Forskingsmetodar og utvikling av forskingsprosjekt i digital kultur
dikult302,Sentrale teoriar i digital kultur
dikult303,Digital medieestetikk 
dikult304,Seminaremne i digital kultur
dikult350,Mastergradsoppgåve i digital kultur
dkt100,"Introduksjon til kunst, teater og digital kultur"
dor100,Element og prinsipp i interiørarkitektur og møbeldesign
dor110,Materiallab
dor120,Formidling gjennom tegning og digitale verktøy
dor131,Eksperimentelle konstruksjonar
dor201,Sanseleg design
dor223,Formgiving og anvendt estetikk
dor236,Utstillingsdesign
dor240,Portfolio og formidling
dor245,Selvvalgt prosjekt interiørarkitektur eller møbeldesign
dor246,Design og produksjon
dor251,Bachelorprosjekt i møbel- og romdesign/interiørarkitektur
dsc219,Praksis i data science
dsc300,Data science prosjektstyring
dsc316,Datafordjuping
dsc399k,Masteroppgåve
eas250,Bacheloroppgåve i japansk
eas251,Bacheloroppgåve i kinesisk
econ100,Innføring i samfunnsøkonomi
econ110,Mikroøkonomiske grunnomgrep og marknadsteori
econ115,Utviklingsøkonomi I
econ116,Miljø- og ressursøkonomi 
econ121,Helseøkonomi
econ122,"Incentiver, politikk og åtferd"
econ127,Innføring i spel og strategiar
econ130,Makroøkonomi
econ140,Matematikk for økonomer
econ150,Marknad og moral
econ210,Velferd og økonomisk politikk
econ217,Challenges of Global Poverty 
econ218,Næringsstruktur og internasjonal handel
econ220,Velferdsstatens økonomi
econ222,Økonometri og økonomisk historie
econ225,Politisk økonomi - økonomiske perspektiver
econ229,Arbeidsmarknadsøkonomi
econ230,Internasjonal makroøkonomi
econ240,Statistikk og økonometri
econ243,Videregående matematikk og optimering
econ244,Anvendt økonometri
econ260,Næringsøkonomi og konkurransepolitikk
econ261,Investering og finansiering I
econ263,Bedriftsøkonomi for samfunnsøkonomar
econ290a,Bacheloroppgave med rettleiing
econ290b,Bacheloroppgave utan rettleiing
econ310,Mikroøkonomisk analyse
econ315,Utviklingsøkonomi II
econ316a,Miljøøkonomi
econ316b,Ressursøkonomi
econ321a,Helseøkonomi
econ321b,Utdanningsøkonomi
econ324,Public Economics
econ327,Spillteori
econ330,Makroøkonomisk analyse
econ336,"Befolkningsutvikling, økonomisk vekst og trygdesystemet"
econ340,Økonometri I
econ341,Økonometri II
econ342,Nytte-kostnadsanalyse
econ343,Empirisk forskingsdesign
econ350,Samfunnsøkonomisk idéhistorie
econ351,Marknad og moral
econ360,Strategisk bedriftsåtferd og marknadsmakt
econ362a,Digital Economics
econ364,Corporate Finance
econ370,Eksperimentell økonomi
econ380,Forberedelsesemne for masteroppgåva
econ381,Praksisbasert prosjektarbeid
econ390,Masteroppgave
econ391,Masteroppgåve
econ913,Labor Market Adjustment to (Local) Economic Shocks
eemed301,PET i onkologi
eemed302,Multimodal billeddiagnostikk i endokrin hals
elmed204,Dyreassistert terapi og assistanse
elmed207,Maritim Medisin
elmed209,Arbeidsmedisin i utviklingsland
elmed212,Fjellmedisin
elmed217,Den akutt sjuke gamle pasienten
elmed218a,Innføring i medisinsk pedagogikk
elmed218b,Medisinsk pedagogisk praksis
elmed219,Kunstig intelligens og beregningsorientert medisin
elmed220,Aktivitet og kost er medisin
elmed223-a,Innovasjon og entreprenørskap
elmed227,Søvnsjukdommar
elmed228,Pasientsikkerheit og simulering i praksis
elmed229,Medisinsk fredsarbeid
elmed232,Seksuell helse og mangfald
elmed301,Praktisk oftalmologi
elmed303,Framtidsmedisin 
elmed308,Fordjupingskurs i palliativ medisin
elmed311,Global tuberkuloseepidemiologi og intervensjonar
elmed312,Legevakt og akutt allmennmedisin
elmed315,Fordjuping i allergologi
elmed316,Førebygging og behandling av ruslidingar 
elmed318,Moderne endokrinkirurgi: fra bilete til behandling 
elmed322,Abdominal og akutt ultralyd
elmed323,Moderne kreftbehandling 
elmed326,Ernæringsrelaterte genetiske sjukdommer
elmed328,Beredskap for helsekriser: ei multidisiplinær tilnærming
elmed329,Økonomistyring i helsesektoren
elmed330,Sjukeheimsmedisin
elmed350,The big killers: strukturert oppfølging av de dødeligste sykdommer i allmennpraksis
elmed351,Helsefagleg simulering
elmed352,Muskel- og skjelettskadar
elmed353,Prehospital akuttmedisin
elmed354,God helseteneste for mennesker med samtidig ruslidelse og psykisk lidelse (ROP-lidelser)
energi101,Introduksjon til energikjelder og forbruk
energi102,Livsløpsanalyse
energi230,Miljø og energi
energi240,Praksisutplassering
energi251,Vitskapleg skriving og formidling
energi255,Numeriske metodar for prosessteknologi
energi257,Fluidmekanikk og varmeoverføring
energi261,Grunnleggjande reservoarfysikk
energi270,Energiberarar og plattformkjemikaliar frå bioressursar
energi300,Energiressursar og -forbruk
energi321,Energi frå havvind del 1
energi322,Energi frå havvind del 2
energi351,Vitskapleg skriving og formidling
energi352,Forbrenningsfysikk
energi353,Introduksjon til fleirfasesystem
energi356,Termodynamiske metodar for separasjonsteknologi
energi360,Energifysikk og -teknologi
energi364,Eksperimentelle metodar i reservoarfysikk
energi365,Simulering av fleirfasestrøyming i porøse media
energi366,Naturgasshydrat: Fundamentale aspekter og praktiske implikasjoner
energi399,Masteroppgåve i energi
energi399i,Masteroppgåve i energi
energi399k,Masteroppgåve i energi
energiphd951,Vitskapleg skriving og formidling
energiphd964,Eksperimentelle metodar i reservoarfysikk
energiphd965,Simulering av fleirfasestrøyming i porøse media
eng100,Introduksjon til engelskstudiet
eng110,Lydar og strukturar
eng120,System og variasjon
eng120l,Aspekt ved det engelske språksystemet
eng122,Amerikansk litteratur og kultur 
eng125,Britisk litteratur og kultur 
eng225,Engelsk lingvistikk: språkhistorie
eng225l,Engelsk lingvistikk: språkhistorie
eng226,Engelskspråkleg (amerikansk) litteratur og kultur I
eng226l,Engelskspråkleg (amerikansk) litteratur og kultur I
eng227,Engelsk lingvistikk: moderne lingvistikk
eng227l,Engelsk lingvistikk: moderne lingvistikk
eng228,Engelskspråkleg (britisk eller kolonial/postkolonial) litteratur og kultur II
eng261,Semesteroppgåve i engelsk lingvistikk: språkhistorie
eng263,Semesteroppgåve i engelsk lingvistikk: moderne lingvistikk
eng265,Semesteroppgåve i engelsk lingvistikk: språkhistorie
eng265l,Bacheloroppgåve i engelsk lingvistikk: språkhistorie
eng266,Semesteroppgåve i engelskspråkleg (amerikansk) litteratur og kultur I
eng267,Semesteroppgåve i engelsk lingvistikk: moderne lingvistikk
eng267l,Bacheloroppgåve i engelsk lingvistikk: moderne lingvistikk
eng268,Semesteroppgåve i engelskspråkleg (britisk eller kolonial/postkolonial) litteratur og kultur II
eng268l,Bacheloroppgåve i engelskspråkleg litteratur og kultur II
eng331,Masteremne i engelskspråklig litteratur/kultur I
eng332,Masteremne i engelskspråklig litteratur/kultur II
eng333,Masteremne i engelskspråklig litteratur/kultur III
eng334,Masteremne i engelskspråkleg litteratur/kultur IV
eng335,Masteremne i engelskspråkleg litteratur/kultur V
eng336,Masteremne i engelskspråkleg litteratur/kultur VI
eng337,Masteremne i engelskspråkleg litteratur/kultur VII
eng339,Masteremne i engelsk lingvistikk I
eng339l,Masteremne i engelsk lingvistikk I
eng341,Masteremne i engelsk lingvistikk II
eng343,Masteremne i engelsk lingvistikk III
eng345,Masteremne i engelsk lingvistikk IV
eng347,Masteremne i engelsk lingvistikk V
eng349,Masteremne i engelsk lingvistikk VI
eng350,Engelsk mastergradsoppgåve 
eng621,Engelsk 1a: Utvikling av språkleg og kommunikativ kompetanse
eng622,Engelsk 1b: Utvikling av tekstkompetanse i engelskfaget
eng623,Engelsk 2a: Utvikling av danning og interkulturell kompetanse i engelskfaget
eng624,Engelsk 2b: Språk og diskurs i eit kommunikasjons- og læringsperspektiv
engdi100-p,Fagdidaktikk i engelsk 1 (fag 1)
engdi101,Fagdidaktikk i engelsk i lektorutdanninga
engdi111,Fagdidaktikk i engelsk for integrert lektorutdanning
engdi201,Fagdidaktikk i engelsk for integrert lærarutdanning
engdi301,Fagdidaktikk i engelsk for integrert lektorutdanning
engmau641,Engelsk språk
engmau642,Engelskspråkleg litteratur
engmau643,Engelsk fagdidaktikk (i Erfaringbasert master i undervisning med fordjupning i engelsk)
engmau644,"Profesjon, refleksjon og erfaringsdeling"
engmau655,Erfaringsbasert masteroppgåve i undervisning med fordjupning i engelsk
eur101,Innføring i europeisk historie og politikk  
eur103,Europa etter 1945: Transformations in European Economies and Societies 
eur105,"European Union Institutions, Politics, and Policies "
executive660,"Rettsleg, politisk og økonomisk handlingsrom for kommunal leiing"
executive662,Rolleforståing for kommunale leiarar
executive663,Operativ teamleiing i kriser
executive670,Masteroppgåve i kommunal leiing
executive680,Masteroppgåve i offentleg forvalting
executive681,"Gjenstridige problem, samspel og samordning i offentleg sektor"
executive682,Europeisering av forvaltinga
executive683,Prioritering og styring i offentleg sektor
executive690,Masteroppgåve i operativ leiing og myndigheitsutøving
exfac00as,Akademisk skriving
exfac00sk,Språkkunnskap
exphil-hfeks,Examen philosophicum - skuleeksamen
exphil-hfsem,Examen philosophicum - seminarmodell
exphil-jusem,Examen philosophicum - seminarmodell
exphil-kmeks,Examen philosophicum - skuleeksamen
exphil-kmsem,Examen philosophicum - seminarmodell
exphil-mneks,Examen philosophicum - skuleeksamen
exphil-mnsem,Examen philosophicum - seminarmodell
exphil-moeks,Examen philosophicum - skuleeksamen
exphil-mosem,Examen philosophicum - seminarmodell
exphil-pseks,Examen philosophicum - skuleeksamen
exphil-pssem,Examen philosophicum - seminarmodell
exphil-sveks,Examen philosophicum - skuleeksamen
exphil-svsem,Examen philosophicum - seminarmodell
farm103,Samfunnsfarmasi I
farm110,Kjemi og energi
farm124,Kjemisk syntese og analyse
farm130,Organisk kjemi
farm150,Biokjemi
farm205,Samfunnsfarmasi II og rettleia praksis
farm211,Farmasøytisk fysikalsk kjemi
farm236,Lækjemiddelkjemi
farm238,"Farmakognosi, inklusive botanikk"
farm250,Analytisk kjemi
farm260,Molekylær cellebiologi
farm270,Farmasøytisk mikrobiologi og immunologi 
farm280,Menneskets fysiologi
farm290,Farmakologi semester I
farm293,Farmakologi II
farm295,Galenisk farmasi
farm301a,Farmasøytisk forskingsmetodikk
farm321,Klinisk farmasi
farm331,Digitale verktøy for presentasjoner og prosjektplanlegging
farm395,Farmakoterapi
farm39905h,Masteroppgåve i Farmasi
farm901,Utvikling og testing av komplekse helseintervensjonar
fil105,Innføring i sinnsfilosofi
fil106,Innføring i miljøetikk
fil107,Innføring i politisk idéhistorie
fil116,Innføring i moderne politisk teori
fil117,Kunstig intelligens
fil120,Filosofihistoria frå antikken til opplysningstida
fil121,Filosofihistoria frå opplysningstida til 1900-talet
fil124,Introduksjon til praktisk filosofi
fil125,Introduksjon til teoretisk filosofi
fil128,Innføring i etikk
fil129,Filosofiske klassikarar
fil130,Moral og det gode liv
fil217,Wittgensteinstudiar
fil218,Estetikk
fil219,Vitskapsfilosofi
fil220,Metafysikk
fil228,Moralfilosofi
fil231,Ope emne
fil232,Ope emne med redusert oppgåvestorleik
fil233,Filosofien i antikken
fil235,Sinnsfilosofi
fil236,Miljøetikk
fil241,Rettsfilosofi
fil245,Språkfilosofi
fil246,Kontinental filosofi
fil247,Epistemologi
fil248,Philosophy of the Social Sciences
fil249,Politisk filosofi
fil251,Bacheloroppgåve i filosofi
fil252,Bacheloroppgåve i filosofi
fil310,Ope forskningsemne i filosofi 1
fil317,Masteremne i Wittgensteinstudiar
fil318,Masteremne i estetikk
fil319,Masteremne i vitskapsfilosofi
fil320,Masteremne i metafysikk
fil321,Metodebruk
fil322,Prosjektskisse
fil328,Masteremne i moralfilosofi
fil331,Forskingsemne i teoretisk filosofi
fil332,Forskingsemne i praktisk filosofi
fil333,Masteremne i filosofien i antikken
fil335,Masteremne i sinnsfilosofi
fil336,Masteremne i miljøetikk
fil341,Forskningsemne i rettsfilosofi
fil342,Prosjektskisse og metodebruk
fil343,Forskningsemne i teoretisk filosofi
fil344,Forskingsemne i praktisk filosofi
fil345,Forskingsemne i språkfilosofi
fil346,Forskningsemne i kontinental filosofi
fil347,Forskingsemne i epistemologi
fil348,Master Topic in Philosophy of the Social Sciences
fil349,Forskingsemne i politisk filosofi
filo350,Filosofi mastergradsoppgåve 
filo351,Filosofi mastergradsoppgåve
fisk399,Masteroppgåve i fiskehelse
flart2,FL-Forskningsformidling
formidl901,Vitskapeleg formidling
formidlsv900,Fagleg formidling
framdi100-p,"Fagdidaktikk i fransk, spansk og tysk 1 (fag 1)"
fran100,"Praktisk fransk: språk, kultur, litteratur"
fran116,Omsetjing frå fransk til norsk 
fran117,Omsetjing frå norsk til fransk 
fran120,Fransk grammatikk 1
fran121,Fransk grammatikk 2
fran122,Innføring i moderne franskspråkleg litteratur
fran123,Innføring i franske litterære klassikarar
fran124,Fransk kulturkunnskap og frankofoni
fran204,Fordjuping i fransk litteratur
fran205,Fordypning i fransk grammatikk og tekstlingvistikk
fran206,Fordjuping i fransk litteratur
fran206l,Fordjuping i fransk litteratur 
fran254,Fordjuping i fransk litteratur med bacheloroppgåve
fran255,Fordjuping i fransk grammatikk og tekstlingvistikk med bacheloroppgåve
fran255l,Fordjuping i fransk grammatikk og tekstlingvistikk med bacheloroppgåve for lektorutdanninga
fran256,Fordjuping i fransk litteratur med bacheloroppgåve
fran256l,Fordjuping i fransk litteratur med bacheloroppgåve
fran307,Språkleg særemne
fran307l,Språkleg særemne
fran308,Litterært særemne
fran308l,Litterært særemne
fran312,Fransk litteraturvitskap
fran313,Fransk språkvitskap
fran313l,Fransk grammatikk
fran350,Fransk mastergradsoppgåve
fran620,Fransk grammatikk 1
fran621,Fransk grammatikk 2
fran622,Innføring i moderne franskspråkleg litteratur
fran623,Innføring i franske litterære klassikarar
fran624,Fransk kulturkunnskap og frankofoni
frandi101,Fagdidaktikk i fransk i lektorutdanninga 1
frandi111,Fagdidaktikk i fransk i lektorutdanninga 3
frandi201,Fagdidaktikk i fransk i lektorutdanninga 2
frandi301,Fagdidaktikk i fransk for integrert lektorutdanning 3
franprax,Praksis i bokindustrien (samarbeid i høgare utdanning: Québec - Norge)
fransk621,"Fransk 1a: Fransk språk, kultur, litteratur og språkdidaktikk 1"
fransk622,"Fransk 1b: Fransk språk, kultur, litteratur og språkdidaktikk 2"
fskli901,Seminar i klinisk og translasjonell forsking for ph.d.-kandidatar
fyst333a,"Muskel-skjelettlidingar - Akutt, subakutt and intermitterande  lidingar"
fyst333b,Muskel-skjelettlidingar - langvarige lidingar
gcp901,Kurs i kliniske studier inkludert ICH-GCP
genestat-b,Genetic epidemiology and genome-wide association analyses
genv301,Introduksjon til medisinsk genetikk og genetisk rettleiing  
genv302,Genetisk utgreiing og -rettleiing
genv303,Genetisk rettleiing: klinisk praksis
genv399,Genetisk rettleiing: masteroppgåve
geo-sd302,Fundamentals of System Dynamics
geo-sd303,System Dynamics Modeling and Analysis
geo-sd304,System Dynamics Modelling Process
